title,locations
fletcher-massinger-the-little-french-lawyer,"['Venice', 'Paris', 'Florence', 'Italy']"
fletcher-massinger-the-prophetess,"['France', 'Rome', 'Greece', 'Paris', 'South', 'Persia']"
fletcher-massinger-the-sea-voyage,['Island']
fletcher-massinger-the-spanish-curate,[]
fletcher-massinger-the-wandering-lovers,[]
fletcher-rowley-the-maid-in-the-mill,[]
fletcher-rule-a-wife-and-have-a-wife,"['England', 'Spaine', 'Europe']"
fletcher-shirley-the-night-walker,"['Jndies', 'Thames', 'Wales']"
fletcher-sicelides,"['South', 'Cape', 'Troy', 'Delphos']"
fletcher-the-chances,"['Bollonia', 'Italy', 'Geneva', 'Spain', 'England']"
fletcher-the-faithful-shepherdess,"['Troy', 'South', 'Orient']"
fletcher-the-humorous-lieutenant,[]
fletcher-the-island-princess,['Island']
fletcher-the-loyal-subject,[]
fletcher-the-mad-lover,[]
fletcher-the-pilgrim,[]
fletcher-the-wild-goose-chase,"['Germany', 'France', 'States', 'Italy', 'Alpes', 'Paris', 'Bollonia', 'Wales', 'Persia', 'Kingdom', 'England']"
fletcher-the-woman-s-prize,"['Black-Fryers', 'France', 'London', 'Rome', 'Greece', 'Lancashire', 'Columbus', 'Islands', 'Paris', 'Kingdom', 'England']"
fletcher-valentinian,"['Baudes', 'Mantuan', 'Italy', 'Rome', 'Asia', 'Messalina', 'Jtaly', 'Nile']"
fletcher-women-pleased,"['Florence', 'States', 'Silver', 'South', 'Rome', 'Kingdom', 'Turkey']"
ford-love-s-sacrifice,"['Iland', 'Helycon', 'France', 'Naples', 'Italy', 'Rome', 'England', 'Spaine']"
ford-perkin-warbeck,"['Iland', 'Lancaster', 'States', 'London', 'Europe', 'Cornwall', 'Richmond', 'Scotland', 'Ireland', 'Westminster', 'Wales', 'England']"
ford-the-broken-heart,[]
ford-the-fancies-chaste-and-noble,"['Venice', 'Florence', 'France', 'Italy', 'Rome', 'Indies', 'Births', 'Spaine']"
ford-the-lady-s-trial,"['Germany', 'Genoa', 'Spain', 'Sardinia']"
ford-the-laws-of-candy,"['Venice', 'States', 'Europe', 'Kingdom', 'Malta']"
ford-the-lover-s-melancholy,"['Thessaly', 'Iland', 'States', 'Corinth', 'Italy', 'Athens', 'Greece', 'Cyprus', 'Switzerland', 'Tempe']"
ford-the-queen,"['Europe', 'Kingdom', 'Arragon']"
ford-tis-pity-she-s-a-whore,[]
freeman-imperiale,"['Venice', 'Siena', 'France', 'States', 'Europe', 'Naples', 'Italy', 'Rome', 'Greece', 'Alpes']"
fulwel-like-will-to-like,[]
garter-the-most-virtuous-and-godly-susanna,"['London', 'Rome']"
gascoigne-the-glass-of-government,"['Germany', 'Antwerp', 'Thebes', 'Aegypt', 'Europe', 'Arabia', 'Samos', 'Hungary', 'Delphos']"
glapthorne-albertus-wallenstein,"['Iland', 'States', 'Vienna']"
glapthorne-argalus-and-parthenia,"['Mantinea', 'Corinth']"
glapthorne-revenge-for-honor,"['Egypt', 'Persia', 'Arabia', 'Kingdom', 'Spain']"
glapthorne-the-hollander,"['France', 'London', 'Finsbury', 'Crowland', 'Amsterdam']"
glapthorne-the-ladies-privilege,"['Paris', 'France', 'Island', 'States', 'Naples', 'Italy', 'England', 'Spaine']"
glapthorne-wit-in-a-constable,[]
goffe-orestes,"['Alps', 'Athens', 'Greece', 'Troy']"
goffe-the-careless-shepherdess,[]
gomersall-lodovick-sforza,[]
gough-the-strange-discovery,[]
greene-alphonsus-king-of-aragon,"['Affrica', 'Naples', 'Rome', 'Arabia', 'Asia', 'Albania', 'Scythia', 'Troy', 'Delphos']"
greene-friar-bacon-and-friar-bongay,"['Germany', 'Europe', 'Cambridge', 'Douer', 'Rome', 'Greece', 'Troy', 'Spaine', 'Bolonia', 'Lincolnshire', 'Padua', 'Paris', 'Affrica', 'Almaine', 'Rye', 'Wales', 'Euphrates', 'Saxony', 'England']"
greene-george-a-green-the-pinner-of-wakefield,"['Scotland', 'Doncaster', 'England', 'London']"
greene-orlando-furioso,"['Thessaly', 'France', 'Greece', 'Asia', 'Europa', 'Troy', 'Alpes', 'Paris', 'South', 'Egypt', 'Affrica', 'Euphrates', 'Sicily']"
greene-selimus-1,"['Magnesia', 'Aegypt', 'Tartarie', 'Asia', 'Troy', 'Barbaria', 'Ophir', 'South', 'Arabia', 'Persia', 'Orient']"
greene-the-scottish-history-of-james-the-fourth,"['Scotland', 'France', 'Persia', 'England']"
greville-alaham,['States']
greville-mustapha,"['Asia', 'States']"
habington-the-queen-of-aragon,"['Kingdom', 'Toledo', 'Arragon']"
harding-sicily-and-naples,"['Messina', 'Padua', 'France', 'Alberto', 'Naples', 'Wales', 'Arabia', 'Sicily', 'Troy']"
haughton-englishmen-for-my-money,"['Venice', 'London', 'Barbary', 'Italy', 'Rome', 'Shoredich', 'Spaine', 'Frisco', 'Westminster', 'Sicily', 'England', 'Amsterdam', 'Fraunce']"
hausted-the-rival-friends,[]
hawkins-apollo-shroving,"['Thessaly', 'France', 'London', 'Rome', 'Paris', 'Parnassus', 'Ethiopia', 'Thames', 'England', 'Mount']"
heywood-a-challenge-for-beauty,"['Germany', 'Iland', 'Alps', 'France', 'Mantuan', 'London', 'Europe', 'Flushing', 'Middleborough', 'Italy', 'Rome', 'Greece', 'England', 'Asia', 'Troy', 'Spaine']"
heywood-a-woman-killed-with-kindness,"['Germany', 'France', 'Acton', 'Italy', 'England']"
heywood-brome-the-late-lancashire-witches,"['Lancaster', 'Paris', 'London', 'England', 'Lancashire', 'Troy']"
heywood-edward-the-fourth-1,[]
heywood-how-a-man-may-choose-a-good-wife-from-a-bad,"['London', 'Europe']"
heywood-if-you-know-not-me-you-know-nobody-1,[]
heywood-if-you-know-not-me-you-know-nobody-2,"['Venice', 'France', 'London', 'Rome', 'Spaine', 'Bristow', 'South', 'England', 'Fraunce']"
heywood-love-s-mistress,"['Arcadia', 'Paris', 'Troy', 'Delphos']"
heywood-rowley-fortune-by-land-and-sea,"['Kingdom', 'England', 'Spain', 'France', 'South', 'Europe']"
heywood-the-brazen-age,"['Thessaly', 'Paphos', 'Thebes', 'Aegypt', 'Greece', 'Asia', 'Thrace', 'Troy', 'Spaine', 'Tempe']"
heywood-the-english-traveller,"['Rome', 'Greece', 'England', 'Turkey', 'France', 'London', 'Italy', 'Paris', 'Ierusalem', 'Palestine']"
heywood-the-fair-maid-of-the-exchange,[]
heywood-the-fair-maid-of-the-west-1,"['Islands', 'Morocco', 'France', 'London', 'Barbary', 'Cornwall', 'England']"
heywood-the-fair-maid-of-the-west-2,"['Mantua', 'Florence', 'Italy', 'Greece', 'England', 'Troy']"
heywood-the-four-prentices-of-london,"['Venice', 'France', 'London', 'Europe', 'Italy', 'Asia', 'Troy', 'Alpes', 'Scotland', 'Ierusalem', 'Ireland', 'Wales', 'England', 'Turkey']"
heywood-the-golden-age,"['Italy', 'Athens', 'Greece', 'Europa', 'Troy', 'Corsicke', 'Sicily', 'Delphos']"
heywood-the-iron-age-1,"['Sparta', 'Greece', 'Asia', 'Troy', 'Paris', 'Delphos']"
heywood-the-iron-age-2,"['Europe', 'Sparta', 'Greece', 'Asia', 'Europa', 'Troy', 'Paris', 'South']"
heywood-the-rape-of-lucrece,"['States', 'Rome', 'Greece', 'Troy', 'Delphos']"
heywood-the-royal-king-and-the-loyal-subject,"['London', 'Europe', 'Wales']"
heywood-the-wise-woman-of-hogsdon,"['France', 'London', 'Europe', 'Finsbury', 'Spaine', 'Westminster', 'St. Georges']"
holiday-technogamia,[]
hughes-the-misfortunes-of-arthur,"['Paris', 'Europe', 'Rome', 'Kingdom', 'Troy']"
jones-adrasta,[]
jonson-bartholomew-fair,"['Virginia', 'Finsbury', 'Rome', 'Columbus', 'Madame', 'Arcadia', 'Turkey', 'France', 'States', 'London', 'Scotland', 'Ierusalem', 'Ireland']"
